YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1947,-2.55,-3.95,2.25,10.65,15.15,18.35,23.05,25.55,20.65,13.35,4.95,-3.95,-2.92,9.35,22.32,12.98,10.43
1948,-2.85,0.05,5.05,12.45,16.05,20.95,24.65,26.55,21.15,14.75,6.85,4.55,-2.25,11.18,24.05,14.25,11.81
1949,-1.66,2.03,4.10,10.38,16.28,20.58,25.69,27.06,22.17,15.67,8.48,-0.34,1.64,10.25,24.44,15.44,12.94
1950,-0.72,0.26,5.21,13.30,17.63,999.90,999.90,999.90,999.90,999.90,999.90,999.90,-0.27,12.05,999.90,999.90,999.90
1951,-3.75,-1.35,3.25,9.85,16.15,20.25,24.25,26.45,19.25,14.75,6.55,1.75,-1.95,9.75,23.65,13.52,11.24
1952,-2.29,-2.64,3.36,10.63,18.10,20.70,25.27,25.01,20.41,13.94,8.50,-1.46,-1.06,10.70,23.66,14.28,11.89
1953,-4.26,-2.25,4.90,9.85,16.34,19.99,24.49,25.47,21.38,16.39,5.86,1.21,-2.66,10.36,23.32,14.54,11.39
1954,-1.11,0.78,3.36,11.49,16.39,19.57,22.03,25.86,20.90,13.56,10.15,-1.70,0.29,10.41,22.49,14.87,12.02
1955,-4.66,0.25,4.32,10.52,15.68,20.75,24.55,26.74,21.46,13.86,7.03,1.82,-2.04,10.17,24.01,14.12,11.57
1956,-2.99,-2.49,3.91,9.40,15.14,19.35,23.92,25.11,21.20,13.92,4.28,-4.27,-1.22,9.48,22.79,13.13,11.05
1957,-2.83,-3.66,0.44,10.24,16.20,19.65,22.21,24.30,19.58,13.46,9.39,0.41,-3.59,8.96,22.05,14.14,10.39
1958,-5.04,-0.23,3.76,10.70,16.07,21.74,25.45,24.38,20.37,13.80,7.47,4.90,-1.62,10.18,23.86,13.88,11.57
1959,-4.25,2.58,6.29,10.50,17.59,20.31,24.31,26.21,21.47,16.00,6.51,1.51,1.08,11.46,23.61,14.66,12.70
1960,-2.88,1.72,6.33,10.33,15.90,20.21,24.46,26.40,21.24,15.80,7.88,-1.12,0.12,10.85,23.69,14.97,12.41
1961,-4.66,-0.54,5.25,10.77,16.49,20.97,25.58,26.69,21.52,15.96,9.43,0.27,-2.11,10.84,24.41,15.64,12.19
1962,-2.28,-0.06,3.42,9.26,16.20,20.33,25.50,25.21,20.58,14.51,6.97,2.12,-0.69,9.63,23.68,14.02,11.66
1963,-7.33,-1.56,5.27,10.83,16.00,20.64,24.00,25.91,21.20,14.23,7.58,2.02,-2.26,10.70,23.52,14.34,11.57
1964,0.40,-3.05,4.03,13.20,17.48,20.86,24.28,26.32,20.66,14.45,7.18,1.21,-0.21,11.57,23.82,14.10,12.32
1965,-3.55,-0.82,2.82,9.78,16.08,20.97,23.69,24.44,21.43,15.56,7.53,-1.06,-1.05,9.56,23.03,14.84,11.60
1966,-3.92,0.03,4.74,10.79,17.10,19.78,23.02,26.39,19.67,14.99,6.97,-2.25,-1.65,10.88,23.06,13.88,11.54
1967,-3.95,-2.21,4.66,10.79,17.93,20.96,25.41,27.06,21.08,14.91,7.04,-3.89,-2.80,11.13,24.48,14.34,11.79
1968,-3.45,-4.16,4.22,11.51,16.02,19.99,24.08,25.02,21.03,13.73,8.11,3.77,-3.83,10.58,23.03,14.29,11.02
1969,-3.26,-2.86,2.85,9.92,15.31,19.16,23.30,24.91,21.12,14.11,5.91,-1.27,-0.78,9.36,22.46,13.71,11.19
1970,-3.90,-0.11,0.47,11.04,17.46,19.66,22.62,25.57,21.36,15.36,6.36,-0.39,-1.76,9.66,22.62,14.36,11.22
1971,-1.91,-0.46,2.30,10.37,15.59,20.55,23.43,24.71,20.89,13.77,9.65,-0.33,-0.92,9.42,22.90,14.77,11.54
1972,1.02,-0.36,5.32,10.65,15.57,20.37,24.63,22.91,19.48,14.38,5.91,1.13,0.11,10.51,22.64,13.26,11.63
